state,switch,mode,margin,n,level,stat,p,pm
GA,switch,crop discontinuation,producer's accuracy,18167,state,median,0.6346489874324813,0.8253613894516724
GA,switch,crop introduction,user's accuracy,13630,state,median,0.7370999147877286,0.8253613894516724
GA,switch,crop introduction,producer's accuracy,13630,state,median,0.6210644519598412,0.8253613894516724
GA,no switch,crop discontinuation,user's accuracy,117273,state,median,0.912574434617624,0.8253613894516724
GA,no switch,crop discontinuation,producer's accuracy,117273,state,median,0.9245995772301406,0.8253613894516724
GA,no switch,crop introduction,user's accuracy,121810,state,median,0.9135309234492709,0.8253613894516724
GA,no switch,crop introduction,producer's accuracy,121810,state,median,0.9267754296827027,0.8253613894516724
GA,overall,crop discontinuation,user's accuracy,135440,state,median,0.9025799195833649,0.8253613894516724
GA,overall,crop discontinuation,producer's accuracy,135440,state,median,0.9161067051782504,0.8253613894516724
GA,overall,crop introduction,user's accuracy,135440,state,median,0.9080763047033718,0.8253613894516724
GA,overall,crop introduction,producer's accuracy,135440,state,median,0.9204318536176711,0.8253613894516724
RI,switch,crop discontinuation,user's accuracy,6,state,mean,0.8186525798125928,0.8266601779150323
RI,switch,crop discontinuation,producer's accuracy,6,state,mean,0.6702929003937952,0.8266601779150323
RI,switch,crop introduction,user's accuracy,8,state,mean,0.6847658724453181,0.8266601779150323
RI,switch,crop introduction,producer's accuracy,8,state,mean,0.6945187434197706,0.8266601779150323
RI,no switch,crop discontinuation,user's accuracy,50,state,mean,0.8869493431381391,0.8266601779150323
RI,no switch,crop discontinuation,producer's accuracy,50,state,mean,0.8632356522851788,0.8266601779150323
RI,no switch,crop introduction,user's accuracy,48,state,mean,0.8840790856848084,0.8266601779150323
RI,no switch,crop introduction,producer's accuracy,48,state,mean,0.8567498684722797,0.8266601779150323
RI,overall,crop discontinuation,user's accuracy,56,state,mean,0.8113491371077035,0.8266601779150323
RI,overall,crop discontinuation,producer's accuracy,56,state,mean,0.8060718787838602,0.8266601779150323
RI,overall,crop introduction,user's accuracy,56,state,mean,0.8028155202376475,0.8266601779150323
RI,overall,crop introduction,producer's accuracy,56,state,mean,0.7779972096305583,0.8266601779150323
RI,switch,crop discontinuation,user's accuracy,6,state,median,0.855424752327345,0.8266601779150323
RI,switch,crop discontinuation,producer's accuracy,6,state,median,0.8164949135202135,0.8266601779150323
RI,switch,crop introduction,user's accuracy,8,state,median,0.7339083984451673,0.8266601779150323
RI,switch,crop introduction,producer's accuracy,8,state,median,0.7218075010953067,0.8266601779150323
RI,no switch,crop discontinuation,user's accuracy,50,state,median,0.9122210327612554,0.8266601779150323
RI,no switch,crop discontinuation,producer's accuracy,50,state,median,0.880333572234773,0.8266601779150323
RI,no switch,crop introduction,user's accuracy,48,state,median,0.9122210327612554,0.8266601779150323
RI,no switch,crop introduction,producer's accuracy,48,state,median,0.8788644503606832,0.8266601779150323
RI,overall,crop discontinuation,user's accuracy,56,state,median,0.910198035403748,0.8266601779150323
RI,overall,crop discontinuation,producer's accuracy,56,state,median,0.8788644503606832,0.8266601779150323
RI,overall,crop introduction,user's accuracy,56,state,median,0.9095009524685267,0.8266601779150323
RI,overall,crop introduction,producer's accuracy,56,state,median,0.8725273868101653,0.8266601779150323
SC,switch,crop discontinuation,user's accuracy,9473,state,mean,0.7924499392973763,0.8322822294362576
SC,switch,crop discontinuation,producer's accuracy,9473,state,mean,0.7524548034897405,0.8322822294362576
SC,switch,crop introduction,user's accuracy,7336,state,mean,0.7853648994172305,0.8322822294362576
SC,switch,crop introduction,producer's accuracy,7336,state,mean,0.7465181794011567,0.8322822294362576
SC,no switch,crop discontinuation,user's accuracy,49151,state,mean,0.8886633143364676,0.8322822294362576
SC,no switch,crop discontinuation,producer's accuracy,49151,state,mean,0.8613981833257013,0.8322822294362576
SC,no switch,crop introduction,user's accuracy,51288,state,mean,0.8947653639822977,0.8322822294362576
SC,no switch,crop introduction,producer's accuracy,51288,state,mean,0.8694697567211821,0.8322822294362576
